,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
39,21984,1610612747,LAL,Los Angeles Lakers,0028400714,1985-03-06,LAL vs. GOS,W,240,145,58,94,0.617,0,2,0.0,29,35,0.829,17,32,49,42,14,5,21,32,
40,21984,1610612747,LAL,Los Angeles Lakers,0028400689,1985-03-02,LAL @ DAL,W,240,125,50,84,0.595,1,2,0.5,24,27,0.889,10,37,47,39,12,12,19,25,
41,21984,1610612747,LAL,Los Angeles Lakers,0028400674,1985-02-28,LAL @ PHX,L,240,105,43,89,0.483,1,6,0.167,18,25,0.72,9,29,38,26,10,3,16,31,
42,21984,1610612747,LAL,Los Angeles Lakers,0028400659,1985-02-26,LAL vs. HOU,W,240,100,43,93,0.462,1,5,0.2,13,16,0.813,17,34,51,33,11,10,25,20,
43,21984,1610612747,LAL,Los Angeles Lakers,0028400650,1985-02-24,LAL @ NYK,W,240,119,45,85,0.529,0,1,0.0,29,40,0.725,21,32,53,34,5,2,19,22,
44,21984,1610612747,LAL,Los Angeles Lakers,0028400644,1985-02-22,LAL @ IND,L,240,113,39,78,0.5,3,5,0.6,32,45,0.711,10,28,38,26,7,5,20,23,
45,21984,1610612747,LAL,Los Angeles Lakers,0028400634,1985-02-21,LAL @ KCK,W,240,123,50,92,0.543,1,3,0.333,22,27,0.815,21,23,44,35,8,9,17,23,
46,21984,1610612747,LAL,Los Angeles Lakers,0028400621,1985-02-19,LAL @ CHI,W,240,127,54,83,0.651,3,5,0.6,16,22,0.727,7,27,34,29,4,8,14,23,
47,21984,1610612747,LAL,Los Angeles Lakers,0028400614,1985-02-17,LAL vs. BOS,W,240,117,42,82,0.512,0,2,0.0,33,41,0.805,10,24,34,28,7,3,13,20,
48,21984,1610612747,LAL,Los Angeles Lakers,0028400597,1985-02-15,LAL vs. ATL,W,240,120,47,78,0.603,1,3,0.333,25,35,0.714,13,29,42,34,4,5,15,24,
49,21984,1610612747,LAL,Los Angeles Lakers,0028400583,1985-02-12,LAL vs. LAC,W,240,121,53,106,0.5,1,4,0.25,14,19,0.737,20,27,47,31,14,7,14,16,
50,21984,1610612747,LAL,Los Angeles Lakers,0028400556,1985-02-05,LAL @ HOU,W,240,113,45,86,0.523,0,4,0.0,23,27,0.852,8,26,34,35,11,2,15,20,
51,21984,1610612747,LAL,Los Angeles Lakers,0028400548,1985-02-03,LAL vs. IND,W,240,122,51,95,0.537,2,3,0.667,18,29,0.621,14,41,55,35,8,7,12,15,
52,21984,1610612747,LAL,Los Angeles Lakers,0028400546,1985-02-02,LAL @ LAC,W,240,105,47,93,0.505,0,3,0.0,11,17,0.647,13,36,49,34,7,9,16,19,
53,21984,1610612747,LAL,Los Angeles Lakers,0028400535,1985-02-01,LAL vs. NYK,W,240,105,37,83,0.446,1,7,0.143,30,43,0.698,14,25,39,27,12,8,17,26,
54,21984,1610612747,LAL,Los Angeles Lakers,0028400524,1985-01-30,LAL vs. HOU,L,240,113,48,83,0.578,2,4,0.5,15,21,0.714,9,27,36,26,7,2,25,21,
55,21984,1610612747,LAL,Los Angeles Lakers,0028400513,1985-01-29,LAL @ POR,W,240,122,54,83,0.651,0,3,0.0,14,14,1.0,8,32,40,32,3,2,16,29,
56,21984,1610612747,LAL,Los Angeles Lakers,0028400503,1985-01-26,LAL @ UTH,L,240,83,35,68,0.515,1,6,0.167,12,17,0.706,13,26,39,21,4,4,27,24,
57,21984,1610612747,LAL,Los Angeles Lakers,0028400493,1985-01-25,LAL vs. PHL,W,240,109,47,85,0.553,1,2,0.5,14,20,0.7,13,24,37,34,9,8,19,22,
58,21984,1610612747,LAL,Los Angeles Lakers,0028400481,1985-01-22,LAL vs. LAC,W,240,123,47,93,0.505,1,3,0.333,28,38,0.737,18,29,47,24,10,3,16,20,
59,21984,1610612747,LAL,Los Angeles Lakers,0028400462,1985-01-19,LAL @ GOS,W,240,139,58,93,0.624,1,1,1.0,22,37,0.595,14,30,44,32,17,6,20,28,
60,21984,1610612747,LAL,Los Angeles Lakers,0028400457,1985-01-18,LAL vs. DAL,W,240,110,50,92,0.543,0,3,0.0,10,14,0.714,9,36,45,35,8,4,13,22,
61,21984,1610612747,LAL,Los Angeles Lakers,0028400449,1985-01-16,LAL @ BOS,L,250,102,44,89,0.494,1,5,0.2,13,18,0.722,9,30,39,28,10,2,14,19,
62,21984,1610612747,LAL,Los Angeles Lakers,0028400438,1985-01-15,LAL @ MIL,L,240,105,46,76,0.605,1,5,0.2,12,18,0.667,8,30,38,27,4,3,22,26,
63,21984,1610612747,LAL,Los Angeles Lakers,0028400431,1985-01-13,LAL @ DET,L,240,98,43,92,0.467,2,5,0.4,10,16,0.625,8,36,44,27,5,9,19,21,
64,21984,1610612747,LAL,Los Angeles Lakers,0028400414,1985-01-11,LAL @ DAL,W,240,121,51,86,0.593,3,6,0.5,16,22,0.727,11,33,44,27,4,4,12,20,
65,21984,1610612747,LAL,Los Angeles Lakers,0028400409,1985-01-10,LAL vs. UTH,W,240,120,49,97,0.505,2,4,0.5,20,21,0.952,20,34,54,32,7,4,27,24,
66,21984,1610612747,LAL,Los Angeles Lakers,0028400398,1985-01-08,LAL vs. DEN,L,240,124,48,80,0.6,2,5,0.4,26,40,0.65,11,31,42,34,4,8,21,23,
67,21984,1610612747,LAL,Los Angeles Lakers,0028400392,1985-01-06,LAL vs. SAN,W,240,99,42,84,0.5,2,3,0.667,13,20,0.65,8,33,41,31,10,6,18,25,
68,21984,1610612747,LAL,Los Angeles Lakers,0028400375,1985-01-04,LAL vs. POR,W,240,120,53,96,0.552,0,1,0.0,14,18,0.778,13,30,43,42,12,7,17,22,
69,21984,1610612747,LAL,Los Angeles Lakers,0028400354,1984-12-29,LAL vs. LAC,W,240,113,48,92,0.522,0,2,0.0,17,25,0.68,13,31,44,36,7,4,13,28,
70,21984,1610612747,LAL,Los Angeles Lakers,0028400342,1984-12-28,LAL @ DEN,W,240,135,56,92,0.609,0,1,0.0,23,27,0.852,15,37,52,31,3,9,19,26,
71,21984,1610612747,LAL,Los Angeles Lakers,0028400328,1984-12-26,LAL vs. SEA,W,240,101,40,80,0.5,0,2,0.0,21,26,0.808,11,25,36,28,12,6,21,33,
72,21984,1610612747,LAL,Los Angeles Lakers,0028400308,1984-12-21,LAL vs. PHX,W,240,119,50,94,0.532,2,7,0.286,17,27,0.63,15,38,53,34,5,3,12,17,
73,21984,1610612747,LAL,Los Angeles Lakers,0028400301,1984-12-19,LAL @ HOU,W,240,123,47,94,0.5,1,4,0.25,28,30,0.933,13,29,42,38,13,5,14,28,
74,21984,1610612747,LAL,Los Angeles Lakers,0028400295,1984-12-18,LAL @ ATL,W,240,117,47,83,0.566,1,2,0.5,22,24,0.917,12,33,45,26,4,1,18,17,
75,21984,1610612747,LAL,Los Angeles Lakers,0028400286,1984-12-16,LAL vs. WAS,W,240,109,46,90,0.511,0,2,0.0,17,20,0.85,18,31,49,33,9,3,19,14,
76,21984,1610612747,LAL,Los Angeles Lakers,0028400267,1984-12-13,LAL @ SEA,L,265,122,48,97,0.495,1,2,0.5,25,32,0.781,20,28,48,32,6,9,17,29,
77,21984,1610612747,LAL,Los Angeles Lakers,0028400259,1984-12-12,LAL vs. GOS,W,240,131,50,88,0.568,1,3,0.333,30,45,0.667,16,36,52,34,4,5,18,31,
78,21984,1610612747,LAL,Los Angeles Lakers,0028400240,1984-12-08,LAL @ WAS,L,240,98,41,87,0.471,1,5,0.2,15,20,0.75,13,30,43,26,10,5,14,22,
79,21984,1610612747,LAL,Los Angeles Lakers,0028400232,1984-12-07,LAL @ PHL,L,240,116,51,89,0.573,2,4,0.5,12,17,0.706,14,25,39,34,6,8,14,28,
80,21984,1610612747,LAL,Los Angeles Lakers,0028400221,1984-12-05,LAL @ NJN,W,240,104,42,78,0.538,1,2,0.5,19,28,0.679,9,28,37,20,13,6,17,19,
81,21984,1610612747,LAL,Los Angeles Lakers,0028400215,1984-12-04,LAL @ CLE,W,240,116,50,91,0.549,0,0,,16,19,0.842,17,32,49,25,7,10,19,18,
